h_code,x,y,z,no
1159064000,1.036796786,1.350703157,-1.784428833,0
1159065000,0.867431196,-1.167694071,-1.208259777,0
1159065100,1.533649886,0.906367368,-1.87224046,0
1159066000,1.759765296,0.46283687,-0.362200056,0
1159067000,0.124548176,0.095223801,-0.306216501,1
1159068000,1.327201329,0.06525564,-0.288362814,0
1162052500,-1.029670703,-0.296932972,0.294951177,4
1162054500,-0.449482876,0.047909103,-0.651529722,1
1162056500,-0.108928472,-0.096102235,-0.502129516,1
1162057500,0.567225271,0.655946642,-0.139529238,0
1162058500,-0.596287797,2.055002329,0.122613773,1
1162059500,0.976029225,0.194183122,0.409995061,0
1162060500,-0.474466987,0.46701935,-0.086464972,1
1162061500,1.322532886,-0.586470841,-0.244802439,0
1162062500,-0.023244062,-0.309093502,0.100838723,1
1162063000,0.295860232,1.313789664,-1.291735785,1
1162064500,-2.102399432,0.986131362,0.103238061,1
1162065500,-2.297224337,0.253303547,-0.019446304,4
1162066500,-3.780623117,2.432745257,-0.2431512,4
1162068500,-1.35585242,1.434657888,2.33408475,4
1162069500,-1.558021558,2.175774688,0.548992095,1
1162071500,-1.464977846,-0.407739694,-0.379369124,4
1162072500,-1.971664807,0.854067866,0.121575424,1
1162073500,-1.126689779,1.512578937,0.321986104,1
1162074500,-2.131292186,0.206297228,-0.626066764,4
1162076500,-1.414381855,-0.183944758,-0.009703933,4
1162077500,-1.563539086,0.361426314,-0.54022523,1
1165051000,1.346547405,0.208150844,0.161685095,0
1165052000,2.110871527,0.261443046,0.657678175,0
1165053000,1.223286633,1.638434909,0.743429273,0
1165053100,1.230979214,2.302284926,0.81271052,0
1165054000,1.124399856,0.333618233,0.420694864,0
1165055000,2.542739158,1.089199654,-1.949938487,0
1165056000,2.560413202,1.478756867,-0.801202029,0
1165057000,1.853601807,0.92639935,-1.048499226,0
1165058000,2.27620884,0.618809821,-0.236299079,0
1165058100,2.865976617,1.546707994,1.217540739,0
1165059000,2.518339982,0.461279224,-0.488111068,0
1165060000,2.305194963,-0.229614527,-0.442778573,0
1165061000,2.280987029,-0.090770266,-0.843395984,0
1165062000,1.237078796,0.438649131,-1.082736873,0
